Composer, Mean, Median, Max, Min
Mozart,0.947,0.969,0.999,0.720
Chopin,0.890,0.971,1.001,0.489
Ravel,0.636,0.703,0.856,0.333
Glinka,0.803,0.803,0.808,0.797
Liszt,0.757,0.770,0.994,0.436
Beethoven,0.851,0.881,0.992,0.402
Haydn,0.822,0.850,0.995,0.540
Schumann,0.837,0.931,0.997,0.466
Schubert,0.781,0.757,0.966,0.500
Debussy,0.441,0.441,0.442,0.440
Prokofiev,0.991,0.992,0.999,0.981
Bach,0.962,0.996,1.0,0.520
Brahms,0.678,0.678,0.678,0.678
Scriabin,0.793,0.796,0.804,0.777
Rachmaninoff,0.796,0.833,0.995,0.536
Balakirev,0.838,0.866,0.878,0.632
